Job_ID,Job_Type,Start_Date,Planned_Duration,Actual_Duration,Budgeted_Cost,Actual_Cost,Revenue,Crew,Subcontractor,Project_Month,Quarter
J001,Kitchen,2025-04-13,32,32,284755.00,273364.80,353096.20,A,VoltEdge Electrical,4,2
J002,Kitchen,2025-02-26,29,29,282242.00,268129.90,333045.56,C,RoofTech SA,2,1
J003,Kitchen,2025-10-15,30,30,275143.00,264137.28,335674.46,A,PrimeCraft Carpentry,10,4
J004,Kitchen,2025-07-09,26,26,268537.00,268537.00,332985.88,A,PrimeCraft Carpentry,7,3
J005,Kitchen,2025-04-23,33,36,256875.00,304687.85,303112.50,B,RoofTech SA,4,2
J006,Kitchen,2025-04-12,27,27,206015.00,206015.00,253398.45,C,TileMasters SA,4,2
J007,Kitchen,2025-12-06,34,40,222756.00,319950.72,262852.08,C,AquaFlow Plumbing,12,4
J008,Kitchen,2025-10-03,31,31,287163.00,278548.11,344595.60,A,AquaFlow Plumbing,10,4
J009,Kitchen,2025-01-13,29,29,218884.00,210128.64,269227.32,A,RoofTech SA,1,1
J010,Kitchen,2025-11-18,32,32,260581.00,260581.00,310091.39,A,VoltEdge Electrical,11,4
J011,Kitchen,2025-01-02,34,38,217571.00,307535.40,263260.91,C,RoofTech SA,1,1
J012,Kitchen,2025-12-11,32,32,233531.00,226525.07,277901.89,A,TileMasters SA,12,4
J013,Kitchen,2025-10-27,32,32,238397.00,238397.00,281308.46,B,RoofTech SA,10,4
J014,Kitchen,2025-11-24,34,36,220379.00,298992.75,268862.38,A,TileMasters SA,11,4
J015,Kitchen,2025-06-14,30,30,221093.00,221093.00,274155.32,C,PrimeCraft Carpentry,6,2
J016,Kitchen,2025-04-16,27,27,284438.00,281593.62,338481.22,C,VoltEdge Electrical,4,2
J017,Kitchen,2025-03-08,32,32,257096.00,249383.12,303373.28,A,VoltEdge Electrical,3,1
J018,Kitchen,2025-01-05,33,33,284636.00,281789.64,335870.48,C,AquaFlow Plumbing,1,1
J019,Kitchen,2025-05-10,27,27,230952.00,228642.48,279451.92,C,VoltEdge Electrical,5,2
J020,Kitchen,2025-06-14,28,28,224319.00,213103.05,278155.56,C,RoofTech SA,6,2
J021,Bathroom,2025-05-08,24,24,143242.00,143242.00,170457.98,C,TileMasters SA,5,2
J022,Bathroom,2025-05-10,15,15,115838.00,111204.48,136688.84,C,AquaFlow Plumbing,5,2
J023,Bathroom,2025-11-08,22,22,141710.00,140292.90,167217.80,B,VoltEdge Electrical,11,4
J024,Bathroom,2025-04-25,20,20,153487.00,148882.39,187254.14,A,TileMasters SA,4,2
J025,Bathroom,2025-11-14,22,29,168897.00,319922.24,207743.31,C,RoofTech SA,11,4
J026,Bathroom,2025-07-08,25,30,163177.00,176231.16,200707.71,C,PrimeCraft Carpentry,7,3
J027,Bathroom,2025-12-19,16,16,110276.00,108070.48,131228.44,B,RoofTech SA,12,4
J028,Bathroom,2025-06-19,19,19,110648.00,105115.60,133884.08,C,RoofTech SA,6,2
J029,Bathroom,2025-10-24,17,22,144363.00,151494.53,177566.49,C,PrimeCraft Carpentry,10,4
J030,Bathroom,2025-09-14,24,24,112268.00,108899.96,132476.24,B,VoltEdge Electrical,9,3
J031,Bathroom,2025-08-26,25,25,140983.00,301840.30,166359.94,B,RoofTech SA,8,3
J032,Bathroom,2025-09-12,24,24,172416.00,165519.36,212071.68,B,VoltEdge Electrical,9,3
J033,Bathroom,2025-07-04,17,20,124231.00,134169.48,151561.82,C,PrimeCraft Carpentry,7,3
J034,Bathroom,2025-09-26,21,24,143398.00,147126.35,170643.62,C,TileMasters SA,9,3
J035,Bathroom,2025-12-06,20,20,116839.00,116839.00,144880.36,B,AquaFlow Plumbing,12,4
J036,Bathroom,2025-03-13,16,16,142014.00,140593.86,174677.22,B,TileMasters SA,3,1
J037,Bathroom,2025-02-28,21,21,150219.00,148716.81,183267.18,B,PrimeCraft Carpentry,2,1
J038,Bathroom,2025-07-16,22,22,150461.00,144442.56,179048.59,B,RoofTech SA,7,3
J039,Flooring,2025-09-15,8,8,96881.00,92036.95,116257.20,A,RoofTech SA,9,3
J040,Flooring,2025-01-09,10,10,106168.00,105106.32,127401.60,C,PrimeCraft Carpentry,1,1
J041,Flooring,2025-02-28,13,13,84301.00,80928.96,100318.19,B,PrimeCraft Carpentry,2,1
J042,Flooring,2025-03-07,15,15,88852.00,87074.96,103068.32,C,TileMasters SA,3,1
J043,Flooring,2025-10-16,7,11,90974.00,93539.47,104620.10,C,VoltEdge Electrical,10,4
J044,Flooring,2025-12-04,13,18,87582.00,91838.49,100719.30,C,AquaFlow Plumbing,12,4
J045,Flooring,2025-07-13,8,13,82334.00,87142.31,94684.10,C,VoltEdge Electrical,7,3
J046,Flooring,2025-01-03,7,7,100265.00,98259.70,119315.35,B,AquaFlow Plumbing,1,1
J047,Flooring,2025-10-06,13,13,91621.00,87039.95,107196.57,A,TileMasters SA,10,4
J048,Flooring,2025-11-06,10,15,106990.00,114479.30,127318.10,C,VoltEdge Electrical,11,4
J049,Flooring,2025-01-22,7,7,118118.00,112212.10,135835.70,B,PrimeCraft Carpentry,1,1
J050,Flooring,2025-04-18,14,17,87947.00,298992.75,102018.52,C,RoofTech SA,4,2
J051,Roofing,2025-04-15,21,21,230793.00,228485.07,309724.21,C,AquaFlow Plumbing,4,2
J052,Roofing,2025-02-08,20,20,200201.00,190190.95,271312.40,C,RoofTech SA,2,1
J053,Roofing,2025-09-04,28,34,202509.00,325987.52,286266.72,C,PrimeCraft Carpentry,9,3
J054,Roofing,2025-08-07,21,25,183593.00,196297.64,251247.02,C,AquaFlow Plumbing,8,3
J055,Roofing,2025-03-21,27,27,165870.00,157576.50,219213.79,A,PrimeCraft Carpentry,3,1
J056,Roofing,2025-12-06,21,21,163531.00,161895.69,233195.21,A,RoofTech SA,12,4
J057,Roofing,2025-01-21,18,18,187626.00,187626.00,252300.68,A,TileMasters SA,1,1
J058,Roofing,2025-04-24,27,29,208748.00,304687.85,275547.36,C,TileMasters SA,4,2
J059,Roofing,2025-08-03,26,31,234938.00,246543.94,312937.42,C,RoofTech SA,8,3
J060,Roofing,2025-10-23,26,29,244268.00,255895.16,333767.80,C,AquaFlow Plumbing,10,4
